drug_name,Owner,dominant_enzyme,Internal_ID,inchi_key,smiles,molecular_weight,logP,pKa,polar_surface_area,dominant_enzyme,metabolism_type,fm_dominant,secondary_enzyme,dose_mg,AUC_ng_h_ml,Cmax_ng_ml,clearance_L_h_kg,half_life_h,inhibitor_tested_SMILES,enzyme_inhibited,AUC_fold_change,data_source
Desipramine,Lance,CYP2D6,23,HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21,266.4,,,,,,,,,,,,,,,,
Nortriptyline,Lance,CYP2D6,24,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,CNCCC=C1c2ccccc2CCc2ccccc21,263.4,,,,,,,,,,,,,,,,
Atomoxetine,Lance,CYP2D6,25,VHGCDTVCOLNTBX-QGZVFWFLSA-N,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.35,,,,,,,,,,,,,,,,
Codeine,Lance,CYP2D6,26,OROGSEYTTFOCAN-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,299.4,,,,,,,,,,,,,,,,
Dextromethorphan,Lance,CYP2D6,27,MKXZASYAUGDDCJ-NJAFHUGGSA-N,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,271.4,,,,,,,,,,,,,,,,
Venlafaxine,Lance,CYP2D6,28,PNVNVHUZROJLTJ-UHFFFAOYSA-N,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.4,,,,,,,,,,,,,,,,
Duloxetine,Lance,CYP2D6,29,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,297.4,,,,,,,,,,,,,,,,
Paroxetine,Lance,CYP2D6,30,AHOUBRCZNHFOSL-YOEHRIQHSA-N,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.4,,,,,,,,,,,,,,,,
Fluoxetine,Lance,CYP2D6,31,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33,,,,,,,,,,,,,,,,
Tamoxifen,Lance,CYP2D6,32,NKANXQFJJICGDU-QPLCGJKRSA-N,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.5,,,,,,,,,,,,,,,,
Aripiprazole,Lance,CYP2D6,33,CEUORZQYGODEFX-UHFFFAOYSA-N,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,448.4,,,,,,,,,,,,,,,,
Carvedilol,Martin,CYP2D6,34,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,406.5,,,,,,,,,,,,,,,,
Tramadol,Martin,CYP2D6,35,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,COc1cccc(C2(O)CCCCC2CN(C)C)c1,263.37,,,,,,,,,,,,,,,,
Warfarin,Martin,CYP2C9,36,PJVWKTKQMONHTI-UHFFFAOYSA-N,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.3,,,,,,,,,,,,,,,,
Tolbutamide,Martin,CYP2C9,37,JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,270.35,,,,,,,,,,,,,,,,
Phenytoin,Martin,CYP2C9,38,CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,,,,,,,,,,,,,,,,
Diclofenac,Martin,CYP2C9,39,DCOPUUMXTXDBNB-UHFFFAOYSA-N,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.1,,,,,,,,,,,,,,,,
Losartan,Martin,CYP2C9,40,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,422.9,,,,,,,,,,,,,,,,
Celecoxib,Martin,CYP2C9,41,RZEKVGVHFLEQIL-UHFFFAOYSA-N,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,381.4,,,,,,,,,,,,,,,,
Fluvastatin,Martin,CYP2C9,42,FJLGEFLZQAZZCD-JUFISIKESA-N,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,411.5,,,,,,,,,,,,,,,,
Glipizide,Martin,CYP2C9,43,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,445.5,,,,,,,,,,,,,,,,
Ibuprofen,Martin,CYP2C9,44,HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28,,,,,,,,,,,,,,,,
Meloxicam,Martin,CYP2C9,45,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.4,,,,,,,,,,,,,,,,
Valdecoxib,Martin,CYP2C9,46,LNPDTQAFDNKSHK-UHFFFAOYSA-N,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,314.4,,,,,,,,,,,,,,,,
S-warfarin,Martin,CYP2C9,47,PJVWKTKQMONHTI-HNNXBMFYSA-N,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,308.3,,,,,,,,,,,,,,,,
Omeprazole,Martin,CYP2C19,48,SUBDBMMJDZJVOS-UHFFFAOYSA-N,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,345.4,,,,,,,,,,,,,,,,
Esomeprazole,Martin,CYP2C19,49,SUBDBMMJDZJVOS-DEOSSOPVSA-N,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,345.4,,,,,,,,,,,,,,,,
Lansoprazole,Martin,CYP2C19,50,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,369.4,,,,,,,,,,,,,,,,
Clopidogrel,Martin,CYP2C19,51,GKTWGGQPFAXNFI-HNNXBMFYSA-N,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,321.8,,,,,,,,,,,,,,,,
Diazepam,Martin,CYP2C19,52,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.74,,,,,,,,,,,,,,,,
Citalopram,Martin,CYP2C19,53,WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.4,,,,,,,,,,,,,,,,
Escitalopram,Martin,CYP2C19,54,WSEQXVZVJXJVFP-FQEVSTJZSA-N,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.4,,,,,,,,,,,,,,,,
Voriconazole,Martin,CYP2C19,55,BCEHBSKCWLPMDN-MGPLVRAMSA-N,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,349.31,,,,,,,,,,,,,,,,
Pantoprazole,Martin,CYP2C19,56,IQPSEEYGBUAQFF-UHFFFAOYSA-N,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,383.4,,,,,,,,,,,,,,,,
Rabeprazole,Martin,CYP2C19,57,YREYEVIYCVEVJK-UHFFFAOYSA-N,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,359.4,,,,,,,,,,,,,,,,
Morphine,Martin,UGT2B7,58,BQJCRHHNABKAKU-KBQPJGBKSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,285.34,,,,,,,,,,,,,,,,
Zidovudine,Martin,UGT2B7,59,HBOMLICNUCNMMY-XLPZGREQSA-N,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,267.24,,,,,,,,,,,,,,,,
Raltegravir,Martin,UGT1A1,60,CZFFBEXEKNGXKS-UHFFFAOYSA-N,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,444.4,,,,,,,,,,,,,,,,
Irinotecan,Martin,UGT1A1,61,UWKQSNNFCGGAFS-XIFFEERXSA-N,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,586.7,,,,,,,,,,,,,,,,
Lamotrigine,Martin,UGT,62,PYZRQGJRPPTADH-UHFFFAOYSA-N,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.09,,,,,,,,,,,,,,,,
Mycophenolate mofetil,Martin,UGT,63,RTGDFNSFWBGLEC-SYZQJQIISA-N,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,433.5,,,,,,,,,,,,,,,,
Oxazepam,Martin,UGT,64,ADIMAYPTOBDMTL-UHFFFAOYSA-N,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.71,,,,,,,,,,,,,,,,
Lorazepam,Martin,UGT,65,DIWRORZWFLOCLC-UHFFFAOYSA-N,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.2,,,,,,,,,,,,,,,,
Temazepam,Martin,UGT,66,SEQDDYPDSLOBDC-UHFFFAOYSA-N,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.74,,,,,,,,,,,,,,,,
